Member,Country
"Department of  Seismology, Institute of Geosciences (IGEO)-Polytechnic University of Tirana  (PUT)",Albania
Zentralanstalt für Meteorologie und Geodynamik - ZAMG,Austria
Department of Meteorology and Geophysics - University of Vienna,Austria
"National Institute of Geophysics, Geodesy and Geography - Bulgarian Academy of Sciences",Bulgaria
Charles University - Faculty of Mathematics and Physics,Czechia
"Inst. Physics of the Earth, Masaryk University",Czechia
Institute of Geophysics Czech Academy of Sciences,Czechia
Department of Earth and Environmental Sciences - Ludwig-Maximilian University Munich,Germany
German Research Centre for Geosciences GFZ,Germany
University of Kiel - Institute for Geosciences,Germany
"Geophysical Institute, Karlsruhe Institute of Technology",Germany
"Laboratory of Seismology, Department of Geology, University of Patras",Greece
"Geophysical Laboratory, Aristotle University Thessaloniki (AUTH)",Greece
National Observatory of Athens,Greece
"Institute of Earth Physics and Space Science - Sopron and Budapest, Hungary",Hungary
Istituto Nazionale di Geofisica e Vulcanologia,Italy
Istituto Nazionale di Oceanografia e di Geofisica Sperimentale  - OGS,Italy
,
"Department of Geosciences, University of Malta",Malta
Sector of Seismology - Institute of Hydrometeorology and Seismology of Montenegro,Montenegro
"Polish AdriaArray Seismic Group: Institute of Geophysics, Polish Academy of Sciences; Institute of Geophysics, University of Warsaw Institute of Earth Sciences, University of Silesia",Poland
"Seismological Observatory, Faculty of Natural Sciences and Mathematics, University “Ss. Cyril and Methodius” (UKIM), Skopje",Republic of  North Macedonia
National Institute for Earth Physics,Romania
Earth Science Institute of the Slovak Academy of Sciences,Slovakia
Slovenian Environment Agency,Slovenia
Swiss Seismological Service (SED) at ETH Zürich,Switzerland
Observatories and Research Facilities for European Seismology (ORFEUS),Various
